samplestamps,C1
82997174,2245.26513671875
82997176,1820.6793212890625
82997178,697.2741088867188
82997180,-2419.89208984375
82997182,-4013.470458984375
82997184,-2886.73388671875
82997186,721.2369995117188
82997188,2735.74169921875
82997190,2150.111572265625
82997192,2205.7216796875
82997194,1465.9674072265625
82997196,-460.37445068359375
82997198,-3653.628662109375
82997200,-3713.845458984375
82997202,-1493.3114013671875
82997204,2199.308349609375
82997206,2407.003173828125
82997208,2165.29345703125
82997210,1887.4339599609375
82997212,834.67529296875
82997214,-2140.34619140625
82997216,-4061.495849609375
82997218,-3027.088623046875
82997220,440.33270263671875
82997222,2758.234130859375
82997224,2078.925048828125
82997226,2237.33154296875
82997228,1519.0811767578125
82997230,-261.26544189453125
82997232,-3510.5576171875
82997234,-3776.47119140625
82997236,-1723.3076171875
82997238,2017.3916015625
82997240,2481.795166015625
82997242,2159.11279296875
82997244,1927.459228515625
82997246,970.4483032226562
82997248,-1862.7275390625
82997250,-4040.947509765625
82997252,-3144.900634765625
82997254,139.78961181640625
82997256,2727.80810546875
82997258,2064.99755859375
82997260,2274.31640625
82997262,1563.7794189453125
82997264,10.193252563476562
82997266,-3356.354736328125
82997268,-3815.624267578125
82997270,-1933.1748046875
82997272,1882.785888671875
82997274,2555.16259765625
82997276,2131.968017578125
82997278,1976.5521240234375
82997280,1057.3193359375
82997282,-1599.8006591796875
82997284,-4042.858154296875
82997286,-3288.860595703125
82997288,-147.12094116210938
82997290,2717.59423828125
82997292,2130.285888671875
82997294,2261.7099609375
82997296,1653.0181884765625
82997298,176.8242645263672
82997300,-3154.9443359375
82997302,-3857.103271484375
82997304,-2202.618896484375
82997306,1624.344970703125
82997308,2580.022705078125
82997310,2126.98779296875
82997312,2055.8095703125
82997314,1138.5164794921875
82997316,-1405.9501953125
82997318,-4008.224365234375
82997320,-3409.87548828125
82997322,-467.64764404296875
82997324,2588.218017578125
82997326,2187.478515625
82997328,2274.549072265625
82997330,1656.3328857421875
82997332,314.05517578125
82997334,-3001.792236328125
82997336,-3975.02783203125
82997338,-2421.10498046875
82997340,1420.0521240234375
