samplestamps,C1,C2
84153674,1091.3675537109375,1119.509033203125
84153676,1167.9332275390625,1211.003173828125
84153678,887.4442749023438,931.3159790039062
84153680,73.00179290771484,98.63031005859375
84153682,-1853.659912109375,-1914.3251953125
84153684,-2091.473388671875,-2164.08056640625
84153686,-1104.8712158203125,-1137.162353515625
84153688,1021.6554565429688,1078.216796875
84153690,1336.441650390625,1376.12646484375
84153692,1071.911376953125,1100.1650390625
84153694,1090.399658203125,1132.29833984375
84153696,641.8425903320312,689.9760131835938
84153698,-826.8081665039062,-834.7044067382812
84153700,-2258.299560546875,-2324.98779296875
84153702,-1836.604736328125,-1893.2740478515625
84153704,-97.9241714477539,-81.16802978515625
84153706,1490.005126953125,1560.1199951171875
84153708,1094.570068359375,1122.1798095703125
84153710,1192.41943359375,1232.748046875
84153712,924.4124755859375,969.8958129882812
84153714,162.93833923339844,196.72894287109375
84153716,-1700.20458984375,-1752.159423828125
84153718,-2121.18505859375,-2191.2958984375
84153720,-1209.790283203125,-1247.726318359375
84153722,950.1406860351562,1002.0581665039062
84153724,1359.756591796875,1400.8619384765625
84153726,1075.857421875,1096.8212890625
84153728,1093.6063232421875,1122.1632080078125
84153730,704.8463745117188,740.9422607421875
84153732,-704.1859130859375,-722.6533813476562
84153734,-2214.029296875,-2306.802734375
84153736,-1874.877197265625,-1951.47607421875
84153738,-245.91323852539062,-253.27780151367188
84153740,1460.318359375,1513.6148681640625
84153742,1137.9183349609375,1153.233154296875
84153744,1166.7991943359375,1189.972900390625
84153746,947.7855224609375,977.3268432617188
84153748,239.8446502685547,261.9923400878906
84153750,-1632.9681396484375,-1699.1619873046875
84153752,-2187.777587890625,-2270.420166015625
84153754,-1284.490966796875,-1336.333740234375
84153756,810.920166015625,845.0388793945312
84153758,1391.1629638671875,1432.1103515625
84153760,1097.7808837890625,1115.1558837890625
84153762,1148.011962890625,1163.9248046875
84153764,891.456787109375,781.6571044921875
84153766,-315.9160461425781,-573.2022094726562
84153768,-2079.942626953125,-2306.30419921875
84153770,-1762.24462890625,-1987.1773681640625
84153772,-233.4063720703125,-359.7960510253906
84153774,1510.2918701171875,1452.118896484375
84153776,1280.24169921875,1199.9251708984375
84153778,1241.7574462890625,1178.12646484375
84153780,1039.37939453125,997.6344604492188
84153782,394.47137451171875,355.2435607910156
84153784,-1471.599853515625,-1581.9063720703125
84153786,-2119.17041015625,-2253.50634765625
84153788,-1368.8074951171875,-1465.9425048828125
84153790,727.6295776367188,727.7708129882812
84153792,1472.3765869140625,1483.720458984375
84153794,1132.269287109375,1122.85693359375
84153796,1150.454345703125,1151.0357666015625
84153798,779.97900390625,794.3717041015625
