samplestamps,C1,C2,C3,C4
85094354,1361.35986328125,1412.94921875,1448.9163818359375,1472.22705078125
85094356,1679.4068603515625,1712.33349609375,1750.630859375,1765.904052734375
85094358,1432.650390625,1453.323486328125,1476.335205078125,1494.7113037109375
85094360,1339.8851318359375,1366.468994140625,1392.537841796875,1407.0550537109375
85094362,822.77490234375,858.1729736328125,876.7899780273438,894.9459228515625
85094364,-1043.05126953125,-1069.2821044921875,-1103.6708984375,-1089.095458984375
85094366,-2689.29052734375,-2779.5595703125,-2861.903076171875,-2843.6640625
85094368,-2136.628662109375,-2208.870361328125,-2269.435791015625,-2249.91748046875
85094370,46.854068756103516,50.25597381591797,55.099220275878906,74.89173889160156
85094372,1829.8216552734375,1882.9437255859375,1932.850830078125,1942.009765625
85094374,1381.380859375,1397.987548828125,1427.9732666015625,1433.310791015625
85094376,1388.7952880859375,1480.92919921875,1520.20263671875,1524.713623046875
85094378,838.1187744140625,1120.70947265625,1172.8885498046875,1180.22412109375
85094380,-22.351219177246094,135.53619384765625,158.49801635742188,164.8739776611328
85094382,-2356.128173828125,-2258.52392578125,-2306.977294921875,-2303.301025390625
85094384,-2711.193115234375,-2666.486572265625,-2732.4228515625,-2725.64404296875
85094386,-1482.43701171875,-1399.4661865234375,-1436.696044921875,-1426.860107421875
85094388,1116.4102783203125,1260.2706298828125,1299.8431396484375,1307.3656005859375
85094390,1650.6629638671875,1773.9456787109375,1820.9534912109375,1820.2099609375
85094392,1321.9659423828125,1417.3812255859375,1449.0576171875,1451.757568359375
85094394,1294.135986328125,1396.4464111328125,1434.237060546875,1435.6326904296875
85094396,782.7786254882812,882.7380981445312,917.1891479492188,921.8828735351562
85094398,-950.8883666992188,-918.2608032226562,-934.6140747070312,-930.7801513671875
85094400,-2715.4091796875,-2754.78662109375,-2837.06787109375,-2826.322265625
85094402,-2210.12060546875,-2239.275634765625,-2308.364501953125,-2296.135986328125
85094404,-199.57839965820312,-158.9383087158203,-168.79095458984375,-154.81781005859375
85094406,1802.7725830078125,1893.5855712890625,1929.26611328125,1937.3118896484375
85094408,1405.2149658203125,1455.379638671875,1469.3028564453125,1475.3424072265625
85094410,1460.96630859375,1511.4466552734375,1537.818603515625,1535.2349853515625
85094412,1142.03466796875,1200.872314453125,1227.373046875,1225.89013671875
85094414,225.78012084960938,267.35479736328125,281.7142333984375,281.02886962890625
85094416,-2086.065185546875,-2130.83837890625,-2186.917724609375,-2187.661376953125
85094418,-2630.73974609375,-2699.22216796875,-2775.688232421875,-2765.73583984375
85094420,-1536.20703125,-1566.5333251953125,-1617.042724609375,-1608.864013671875
85094422,1114.30029296875,1172.8553466796875,1197.923095703125,1203.69677734375
85094424,1751.01708984375,1808.429931640625,1842.8685302734375,1838.5819091796875
85094426,1355.764892578125,1398.6064453125,1411.6033935546875,1407.3416748046875
85094428,1365.6466064453125,1416.4591064453125,1434.9473876953125,1434.7147216796875
85094430,892.686279296875,946.3649291992188,960.371337890625,960.2301025390625
85094432,-774.9114379882812,-776.8844604492188,-806.1931762695312,-803.7134399414062
85094434,-2632.334716796875,-2714.977294921875,-2806.504638671875,-2803.135986328125
85094436,-2247.69091796875,-2315.625244140625,-2397.869140625,-2389.038330078125
85094438,-281.8970031738281,-286.33734130859375,-303.8536071777344,-301.2699890136719
85094440,1784.92822265625,1840.3680419921875,1882.171142578125,1879.5792236328125
85094442,1494.4537353515625,1515.1973876953125,1541.752197265625,1529.8642578125
85094444,1479.2926025390625,1507.76220703125,1534.9400634765625,1522.254638671875
85094446,1204.90966796875,1236.3741455078125,1268.083740234375,1258.67138671875
85094448,388.6478576660156,411.17767333984375,435.5849914550781,428.540283203125
85094450,-1947.0025634765625,-2014.849609375,-2053.101318359375,-2060.220703125
85094452,-2679.96142578125,-2770.952880859375,-2839.589111328125,-2834.255859375
85094454,-1635.834228515625,-1699.1910400390625,-1736.46240234375,-1731.6358642578125
85094456,969.762939453125,995.2252807617188,1036.1395263671875,1041.0533447265625
85094458,1803.3126220703125,1833.655517578125,1888.875244140625,1881.58544921875
85094460,1392.0643310546875,1399.3541259765625,1432.8289794921875,1427.7822265625
85094462,1422.648193359375,1444.1270751953125,1485.7474365234375,1479.0557861328125
85094464,940.7532958984375,971.2042846679688,1010.0416259765625,1003.2586059570312
85094466,-592.3052368164062,-610.3988647460938,-613.6678466796875,-619.0552368164062
85094468,-2584.953125,-2680.983154296875,-2747.50927734375,-2748.1240234375
85094470,-2287.791015625,-2368.59765625,-2426.409423828125,-2425.35009765625
85094472,-485.1473083496094,-502.58050537109375,-506.67193603515625,-502.5015869140625
85094474,1697.4090576171875,1747.8353271484375,1803.15478515625,1798.5316162109375
85094476,1512.838134765625,1530.9442138671875,1574.7244873046875,1562.34228515625
85094478,1474.935302734375,1496.6427001953125,1541.6192626953125,1528.983642578125
85094480,1232.0252685546875,1260.0130615234375,1306.2191162109375,1293.309326171875
85094482,450.50518798828125,474.6134338378906,513.1766357421875,504.41644287109375
85094484,-1763.3994140625,-1828.974365234375,-1855.8822021484375,-1864.609130859375
85094486,-2728.6181640625,-2815.30224609375,-2877.350830078125,-2880.640380859375
85094488,-1748.9610595703125,-1803.9937744140625,-1839.337890625,-1840.201904296875
85094490,765.66943359375,798.6085205078125,838.3804321289062,837.6119995117188
85094492,1793.7132568359375,1837.46875,1896.22314453125,1891.907470703125
85094494,1386.4609375,1405.003173828125,1447.9735107421875,1439.391845703125
85094496,1431.9234619140625,1462.76904296875,1511.1890869140625,1503.4091796875
85094498,976.6622314453125,1010.6605224609375,1054.55712890625,1051.6246337890625
85094500,-454.77105712890625,-461.57073974609375,-456.1501159667969,-462.9289855957031
