samplestamps,C1,C2,C3,C4,C5,C6,C7,C8
84719354,1289.01025390625,1338.6390380859375,1374.7515869140625,1360.757568359375,1371.1046142578125,1347.7772216796875,1354.5186767578125,1308.79443359375
84719356,670.5822143554688,719.521484375,748.04931640625,733.8767700195312,744.9257202148438,724.701171875,731.056396484375,686.71533203125
84719358,-1416.3636474609375,-1455.2674560546875,-1483.69140625,-1499.126708984375,-1497.8638916015625,-1474.1087646484375,-1506.765380859375,-1453.1988525390625
84719360,-2577.031982421875,-2658.964111328125,-2730.0595703125,-2734.620361328125,-2734.653564453125,-2690.490966796875,-2748.98388671875,-2628.77490234375
84719362,-1774.377685546875,-1828.10205078125,-1877.04541015625,-1879.82421875,-1880.065185546875,-1850.4241943359375,-1889.112060546875,-1806.282470703125
84719364,679.3549194335938,708.90869140625,735.1395263671875,735.2765502929688,737.8643798828125,725.9722290039062,730.6867065429688,700.9003295898438
84719366,1898.25439453125,1953.1209716796875,2007.64697265625,1997.8857421875,2009.8609619140625,1977.7318115234375,1995.55126953125,1927.6668701171875
84719368,1395.669677734375,1412.7208251953125,1447.4293212890625,1429.8341064453125,1445.169677734375,1427.6534423828125,1429.377197265625,1399.1505126953125
84719370,1515.3927001953125,1545.8104248046875,1583.966552734375,1572.959228515625,1589.0673828125,1562.6953125,1576.572998046875,1528.06982421875
84719372,1081.0372314453125,1114.5286865234375,1153.012939453125,1147.9205322265625,1163.89990234375,1134.3045654296875,1148.3359375,1096.505615234375
84719374,-131.71060180664062,-130.88816833496094,-122.39379119873047,-128.89437866210938,-110.5265884399414,-127.19550323486328,-130.5060272216797,-138.99209594726562
84719376,-2319.7998046875,-2403.102783203125,-2472.3994140625,-2476.810791015625,-2461.084716796875,-2432.523681640625,-2480.416259765625,-2378.22607421875
84719378,-2297.473388671875,-2375.970703125,-2446.700439453125,-2436.19140625,-2430.255615234375,-2398.006103515625,-2445.9609375,-2341.955810546875
84719380,-759.3889770507812,-784.9260864257812,-806.5213623046875,-801.0010375976562,-793.2916870117188,-785.129638671875,-804.6854248046875,-763.887451171875
84719382,1657.43359375,1713.8370361328125,1759.9600830078125,1764.63720703125,1774.40673828125,1747.577880859375,1762.880126953125,1694.547119140625
84719384,1590.1307373046875,1614.7249755859375,1650.9163818359375,1645.7781982421875,1659.502197265625,1634.8123779296875,1641.7574462890625,1608.77685546875
84719386,1460.1771240234375,1485.9925537109375,1513.22021484375,1513.45703125,1523.180908203125,1502.54931640625,1507.454833984375,1475.76611328125
84719388,1333.59228515625,1367.1044921875,1396.6707763671875,1400.824462890625,1403.3292236328125,1382.801513671875,1388.30517578125,1348.3961181640625
84719390,774.5542602539062,812.5068969726562,841.1800537109375,845.6287231445312,845.2008666992188,827.057373046875,830.7376098632812,793.2211303710938
84719392,-1276.8564453125,-1320.354248046875,-1356.5914306640625,-1349.77099609375,-1352.250732421875,-1334.024169921875,-1370.149169921875,-1312.075927734375
84719394,-2546.0576171875,-2633.049072265625,-2718.877685546875,-2698.8525390625,-2704.4599609375,-2663.5625,-2723.035400390625,-2602.257568359375
84719396,-1833.34814453125,-1897.4527587890625,-1955.98291015625,-1941.145751953125,-1946.3504638671875,-1913.174560546875,-1961.3162841796875,-1868.48046875
84719398,552.1137084960938,577.2894897460938,589.6468505859375,602.3406372070312,601.979248046875,597.0280151367188,593.194091796875,571.3870239257812
84719400,1926.836181640625,1987.7506103515625,2026.2972412109375,2028.7105712890625,2039.6182861328125,2012.3656005859375,2030.2432861328125,1955.646484375
84719402,1422.2286376953125,1447.4127197265625,1470.5032958984375,1467.541748046875,1477.934326171875,1463.666259765625,1470.349609375,1430.0294189453125
84719404,1505.28662109375,1539.7791748046875,1568.81787109375,1566.95703125,1579.12744140625,1560.0452880859375,1572.9384765625,1522.927490234375
84719406,1157.428466796875,1199.5638427734375,1230.343017578125,1229.3253173828125,1239.5185546875,1214.222412109375,1229.3543701171875,1174.442138671875
84719408,28.993032455444336,39.3192024230957,46.704532623291016,39.52688980102539,47.269439697265625,36.26205825805664,39.7719612121582,19.534990310668945
84719410,-2243.95263671875,-2322.05517578125,-2393.0341796875,-2393.864990234375,-2390.5419921875,-2362.333984375,-2398.807861328125,-2301.768310546875
84719412,-2357.73583984375,-2436.328369140625,-2504.487060546875,-2501.546142578125,-2504.22119140625,-2472.050537109375,-2509.263916015625,-2399.048828125
84719414,-909.2929077148438,-936.1301879882812,-962.203125,-953.733642578125,-961.2186889648438,-949.3971557617188,-966.739013671875,-914.3230590820312
84719416,1623.123779296875,1675.61865234375,1722.6221923828125,1726.327392578125,1728.3792724609375,1694.5762939453125,1722.181884765625,1661.338134765625
84719418,1695.5482177734375,1732.0927734375,1769.6217041015625,1762.6475830078125,1768.1263427734375,1739.2330322265625,1765.0816650390625,1720.2130126953125
84719420,1479.7578125,1509.0499267578125,1540.85498046875,1530.3958740234375,1535.4095458984375,1513.166259765625,1534.8487548828125,1500.05712890625
84719422,1401.4808349609375,1441.53515625,1478.3165283203125,1463.4503173828125,1470.4202880859375,1449.1864013671875,1467.230224609375,1423.80712890625
84719424,817.6201171875,862.6921997070312,891.6935424804688,879.589599609375,888.8150634765625,867.7057495117188,883.7931518554688,843.0575561523438
84719426,-1146.7449951171875,-1177.0755615234375,-1202.782958984375,-1217.2503662109375,-1207.642822265625,-1199.0196533203125,-1216.8184814453125,-1167.5302734375
84719428,-2576.433837890625,-2663.5166015625,-2735.521728515625,-2745.552978515625,-2740.64306640625,-2699.413330078125,-2749.216552734375,-2628.687744140625
84719430,-1962.1678466796875,-2021.84033203125,-2081.022705078125,-2081.50439453125,-2078.185546875,-2046.6090087890625,-2081.924072265625,-1985.524169921875
84719432,329.9016418457031,351.78765869140625,359.8874206542969,359.4720458984375,367.0069274902344,360.4772644042969,364.9300537109375,358.01824951171875
84719434,1880.8170166015625,1939.1727294921875,1987.007080078125,1982.8575439453125,1993.030029296875,1969.3828125,1990.890869140625,1929.9847412109375
84719436,1384.8658447265625,1399.1505126953125,1428.687744140625,1413.9710693359375,1420.46337890625,1418.951416015625,1419.362548828125,1403.6075439453125
84719438,1493.6187744140625,1529.87255859375,1554.429443359375,1545.06689453125,1551.5467529296875,1540.26513671875,1547.712890625,1517.7935791015625
84719440,1175.721435546875,1216.8309326171875,1236.5819091796875,1234.67529296875,1239.4146728515625,1229.836181640625,1231.1903076171875,1198.9947509765625
84719442,104.24199676513672,123.2868423461914,122.57240295410156,120.84030151367188,125.82477569580078,124.88187408447266,116.026123046875,110.26905822753906
84719444,-2180.753662109375,-2253.273681640625,-2331.156005859375,-2327.0107421875,-2328.86328125,-2284.106689453125,-2335.401123046875,-2233.007568359375
84719446,-2413.715576171875,-2489.703857421875,-2576.753662109375,-2563.756591796875,-2571.370361328125,-2523.959716796875,-2575.50341796875,-2460.872802734375
84719448,-1115.64599609375,-1142.7366943359375,-1192.6478271484375,-1173.4991455078125,-1182.9114990234375,-1156.1697998046875,-1186.595947265625,-1131.5880126953125
84719450,1477.1949462890625,1534.72412109375,1562.728515625,1583.4847412109375,1577.7027587890625,1558.952880859375,1577.9520263671875,1507.454833984375
84719452,1715.2203369140625,1760.724365234375,1786.0247802734375,1794.6728515625,1795.1214599609375,1776.9737548828125,1793.3892822265625,1731.581787109375
84719454,1483.04345703125,1515.6751708984375,1532.90478515625,1537.3824462890625,1540.19873046875,1526.25048828125,1535.1644287109375,1488.023681640625
84719456,1391.33740234375,1436.4219970703125,1457.855224609375,1462.45751953125,1465.2821044921875,1449.331787109375,1463.599853515625,1408.7623291015625
84719458,867.2114868164062,916.952392578125,939.7688598632812,942.0700073242188,946.6681518554688,929.7500610351562,944.562255859375,885.5958862304688
84719460,-1012.3427734375,-1029.655517578125,-1059.387939453125,-1060.60498046875,-1055.8115234375,-1043.529052734375,-1058.5614013671875,-1034.540283203125
84719462,-2637.501953125,-2711.8994140625,-2794.695556640625,-2791.302001953125,-2797.18798828125,-2750.429443359375,-2797.89404296875,-2686.694580078125
84719464,-2043.0325927734375,-2100.66552734375,-2162.3818359375,-2157.61328125,-2168.1220703125,-2126.16943359375,-2161.08984375,-2077.42138671875
84719466,207.9606170654297,228.41358947753906,226.6316375732422,235.15509033203125,226.573486328125,232.05641174316406,235.989990234375,218.14141845703125
84719468,1934.1259765625,1995.8961181640625,2050.8291015625,2051.0078125,2045.4376220703125,2025.238037109375,2056.09619140625,1971.81689453125
84719470,1446.7523193359375,1470.1295166015625,1499.3634033203125,1494.628173828125,1484.7838134765625,1478.3787841796875,1496.3104248046875,1453.0908203125
84719472,1543.471923828125,1575.3184814453125,1610.7540283203125,1610.99072265625,1601.7237548828125,1589.1171875,1611.60546875,1555.7918701171875
84719474,1213.998046875,1250.9578857421875,1279.917724609375,1284.096435546875,1277.6414794921875,1262.854248046875,1282.1275634765625,1224.5401611328125
84719476,253.921630859375,269.3776550292969,281.2033386230469,288.3311462402344,281.2033386230469,276.77960205078125,288.00714111328125,251.10540771484375
84719478,-2109.247314453125,-2181.991455078125,-2243.072021484375,-2240.409423828125,-2245.742919921875,-2214.486083984375,-2243.603759765625,-2164.757568359375
84719480,-2522.871337890625,-2604.994873046875,-2679.94482421875,-2671.878173828125,-2676.393310546875,-2632.941162109375,-2672.62158203125,-2565.779541015625
84719482,-1257.5042724609375,-1296.586669921875,-1336.5289306640625,-1325.82470703125,-1331.3201904296875,-1307.20361328125,-1324.0428466796875,-1272.7152099609375
84719484,1305.5255126953125,1362.552001953125,1392.9989013671875,1401.14013671875,1397.9168701171875,1380.375732421875,1411.5162353515625,1346.77197265625
84719486,1732.5413818359375,1774.714111328125,1807.5618896484375,1807.3043212890625,1808.7830810546875,1787.70703125,1818.2244873046875,1757.99951171875
84719488,1430.810302734375,1454.3370361328125,1475.3050537109375,1480.5137939453125,1474.951904296875,1467.5250244140625,1488.3768310546875,1444.6629638671875
84719490,1453.896728515625,1486.73193359375,1517.98876953125,1517.1123046875,1514.379150390625,1500.6552734375,1528.294189453125,1472.9041748046875
84719492,930.8092651367188,972.0599365234375,1007.0260009765625,1000.75390625,1001.7300415039062,985.1524658203125,1009.1735229492188,955.0753173828125
84719494,-840.3410034179688,-859.203125,-875.4940185546875,-880.4494018554688,-884.9562377929688,-872.1045532226562,-878.9249877929688,-856.9559326171875
84719496,-2567.025634765625,-2685.73095703125,-2759.837646484375,-2763.567626953125,-2772.336181640625,-2719.03955078125,-2766.77001953125,-2643.782470703125
84719498,-1864.542724609375,-2155.258056640625,-2230.78955078125,-2236.65869140625,-2235.9111328125,-2185.031982421875,-2230.826904296875,-2062.7294921875
84719500,174.75985717773438,10.920154571533203,2.8785345554351807,-4.60233211517334,-2.774691343307495,9.628344535827637,7.455944538116455,66.73381805419922
84719502,2068.06298828125,1964.3941650390625,2007.1361083984375,1995.4765625,1999.086181640625,1990.7164306640625,2009.2462158203125,1993.1256103515625
84719504,1614.4051513671875,1497.6396484375,1519.7664794921875,1503.8951416015625,1505.004150390625,1512.4310302734375,1515.862060546875,1529.573486328125
84719506,1638.2183837890625,1550.848876953125,1576.27392578125,1570.9571533203125,1567.214599609375,1572.2239990234375,1572.2447509765625,1579.4764404296875
84719508,1320.287841796875,1254.70458984375,1278.8709716796875,1275.410888671875,1269.811767578125,1276.7816162109375,1276.827392578125,1265.1844482421875
84719510,452.9974365234375,385.0216369628906,400.52752685546875,393.3498840332031,391.86700439453125,398.6251220703125,392.8638916015625,396.89300537109375
84719512,-1925.03759765625,-2068.648681640625,-2130.663818359375,-2133.530029296875,-2135.96826171875,-2089.521240234375,-2139.162353515625,-2025.7822265625
84719514,-2473.22607421875,-2625.260986328125,-2707.0810546875,-2700.07373046875,-2714.10498046875,-2652.260009765625,-2709.623046875,-2572.82421875
84719516,-1323.4072265625,-1424.0728759765625,-1473.8096923828125,-1469.9383544921875,-1481.7723388671875,-1439.645263671875,-1474.4202880859375,-1386.843017578125
84719518,1200.361328125,1201.0799560546875,1227.7926025390625,1229.16748046875,1223.402099609375,1219.418701171875,1231.05322265625,1204.5234375
84719520,1855.200927734375,1853.4647216796875,1883.74951171875,1878.0340576171875,1877.7308349609375,1868.4056396484375,1880.1566162109375,1838.8809814453125
84719522,1492.6966552734375,1479.2593994140625,1495.3551025390625,1488.3975830078125,1489.6395263671875,1486.07568359375,1488.7298583984375,1468.3931884765625
84719524,1507.8494873046875,1510.6324462890625,1530.2879638671875,1520.2567138671875,1525.1663818359375,1515.7166748046875,1523.2723388671875,1487.5667724609375
84719526,1054.1168212890625,1067.4627685546875,1089.9385986328125,1081.0828857421875,1085.0911865234375,1076.5968017578125,1084.7547607421875,1041.47705078125
84719528,-672.4098510742188,-707.7539672851562,-731.696044921875,-735.8663940429688,-737.424072265625,-719.500732421875,-739.0647583007812,-710.3251342773438
84719530,-2558.5478515625,-2664.09814453125,-2750.412841796875,-2756.315185546875,-2756.93408203125,-2704.559814453125,-2758.749267578125,-2637.24853515625
84719532,-2159.52392578125,-2247.063720703125,-2312.659423828125,-2322.852783203125,-2321.48193359375,-2281.78076171875,-2321.685546875,-2216.247314453125
