samplestamps,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
84755954,1120.468505859375,1156.4605712890625,1177.79833984375,1176.4566650390625,1180.55224609375,1162.674560546875,1179.708984375,1135.7584228515625,1170.246826171875,1176.344482421875,1172.5894775390625,1168.365234375,1178.392333984375,1174.22607421875,1156.871826171875,1120.3189697265625
84755956,699.17236328125,738.666015625,766.923828125,762.4087524414062,765.5074462890625,746.2922973632812,768.6559448242188,715.7083740234375,755.1231079101562,758.8780517578125,758.7908325195312,756.1864624023438,764.8469848632812,759.2311401367188,742.90283203125,712.4684448242188
84755958,-938.4313354492188,-948.54150390625,-960.4544067382812,-966.0951538085938,-967.1087036132812,-962.9923095703125,-964.2509155273438,-951.4948120117188,-978.1741943359375,-973.8668212890625,-976.0018310546875,-979.482666015625,-968.7826538085938,-961.7420654296875,-964.5873413085938,-944.8156127929688
84755960,-2945.135498046875,-3028.4052734375,-3108.21923828125,-3110.370849609375,-3110.8359375,-3072.322509765625,-3109.31982421875,-2995.744384765625,-3121.12060546875,-3118.271240234375,-3130.271240234375,-3129.83935546875,-3112.48095703125,-3087.78271484375,-3077.11181640625,-2996.50048828125
84755962,-2564.9736328125,-2638.64013671875,-2708.659423828125,-2708.638671875,-2708.20263671875,-2671.130615234375,-2702.802734375,-2603.324951171875,-2706.233642578125,-2707.554443359375,-2724.451904296875,-2716.755126953125,-2704.102783203125,-2679.890625,-2674.540771484375,-2603.054931640625
84755964,-646.7647705078125,-651.159423828125,-669.6683959960938,-664.517822265625,-666.3121948242188,-656.2477416992188,-661.17822265625,-641.0118408203125,-659.5914916992188,-659.728515625,-674.1586303710938,-667.7992553710938,-660.318359375,-650.3162231445312,-658.14599609375,-643.1842651367188
84755966,1552.4688720703125,1613.8775634765625,1661.059814453125,1660.3287353515625,1663.0120849609375,1639.9588623046875,1669.4005126953125,1596.1744384765625,1669.7784423828125,1670.8792724609375,1666.0152587890625,1668.9228515625,1668.07958984375,1659.3983154296875,1637.5579833984375,1587.7464599609375
84755968,1215.887939453125,1242.293212890625,1261.346435546875,1256.0628662109375,1263.9757080078125,1252.90185546875,1262.53857421875,1230.41357421875,1258.9912109375,1268.0712890625,1262.1190185546875,1261.8323974609375,1263.9217529296875,1258.4844970703125,1243.497802734375,1205.748779296875
84755970,1219.6221923828125,1258.03173828125,1280.6114501953125,1276.6488037109375,1283.560546875,1267.80126953125,1280.270751953125,1242.7625732421875,1273.7161865234375,1286.28955078125,1274.3184814453125,1273.5458984375,1280.752685546875,1271.2447509765625,1256.536376953125,1212.535888671875
84755972,958.9548950195312,1005.946044921875,1031.8570556640625,1023.8984985351562,1027.819580078125,1014.3033447265625,1028.2723388671875,990.9801635742188,1025.1778564453125,1033.269287109375,1018.2493896484375,1015.7156372070312,1023.3252563476562,1014.6647338867188,993.160888671875,956.2425537109375
84755974,216.72499084472656,260.9414367675781,276.7422180175781,269.3070373535156,277.1700744628906,265.36517333984375,269.94671630859375,244.07315063476562,274.0838317871094,274.79827880859375,266.2166748046875,266.43267822265625,268.9082946777344,266.960205078125,241.99627685546875,228.41773986816406
84755976,-2077.026611328125,-2119.81005859375,-2171.84814453125,-2176.105712890625,-2175.706787109375,-2145.44287109375,-2184.5126953125,-2100.90234375,-2181.15234375,-2180.2177734375,-2189.177490234375,-2185.58447265625,-2179.951904296875,-2164.774169921875,-2170.066162109375,-2115.78515625
84755978,-2868.83544921875,-2935.85595703125,-3011.74462890625,-3014.5068359375,-3022.851806640625,-2974.311279296875,-3030.261962890625,-2909.558837890625,-3019.051025390625,-3020.895263671875,-3031.1259765625,-3023.557861328125,-3019.59521484375,-2993.91259765625,-2992.5419921875,-2912.5576171875
