samplestamps,C1
84545954,-2662.125244140625
84545956,-1307.9886474609375
84545958,1268.11279296875
84545960,1656.0213623046875
84545962,1399.1131591796875
84545964,1365.3516845703125
84545966,811.8671875
84545968,-1025.93798828125
84545970,-2771.65087890625
84545972,-2235.765625
84545974,-46.725303649902344
84545976,1830.3824462890625
84545978,1431.3751220703125
84545980,1481.7806396484375
84545982,1134.5372314453125
84545984,184.55850219726562
84545986,-2159.91845703125
84545988,-2676.8876953125
84545990,-1448.1728515625
84545992,1103.0518798828125
84545994,1744.1219482421875
84545996,1344.6702880859375
84545998,1362.57275390625
84546000,884.1669921875
84546002,-829.2422485351562
84546004,-2720.410400390625
84546006,-2276.0029296875
84546008,-216.9534454345703
84546010,1743.64013671875
84546012,1438.125
84546014,1489.448486328125
84546016,1164.0577392578125
84546018,314.2337951660156
84546020,-2011.25244140625
84546022,-2665.585205078125
84546024,-1591.5927734375
84546026,962.6849365234375
84546028,1734.3773193359375
84546030,1331.768798828125
84546032,1359.9227294921875
84546034,886.1898803710938
84546036,-683.6166381835938
84546038,-2660.0234375
84546040,-2375.6259765625
84546042,-475.1492614746094
84546044,1713.8245849609375
84546046,1470.7816162109375
84546048,1424.9866943359375
84546050,1157.515625
84546052,415.9046325683594
84546054,-1865.797119140625
84546056,-2758.75341796875
84546058,-1753.5177001953125
84546060,815.4020385742188
84546062,1829.01171875
84546064,1359.3577880859375
84546066,1382.851318359375
84546068,939.2329711914062
84546070,-499.7601013183594
84546072,-2645.364990234375
84546074,-2394.82861328125
84546076,-658.7316284179688
84546078,1696.2169189453125
84546080,1513.3240966796875
84546082,1474.2042236328125
84546084,1237.3004150390625
84546086,567.8812866210938
84546088,-1656.889404296875
84546090,-2717.9970703125
84546092,-1858.25390625
84546094,671.3797607421875
84546096,1786.7724609375
84546098,1349.488525390625
84546100,1429.638916015625
84546102,984.2677612304688
84546104,-354.83648681640625
84546106,-2534.86328125
84546108,-2475.352783203125
84546110,-832.6690673828125
84546112,1599.671875
84546114,1562.06396484375
84546116,1420.164306640625
84546118,1239.0201416015625
84546120,631.6036376953125
84546122,-1540.734619140625
84546124,-2706.520263671875
84546126,-1909.6646728515625
84546128,512.4580688476562
84546130,1859.65380859375
84546132,1370.942626953125
84546134,1447.1427001953125
84546136,1030.835205078125
84546138,-154.0369110107422
84546140,-2504.703125
84546142,-2567.295654296875
84546144,-1013.5390625
84546146,1487.687255859375
84546148,1616.0042724609375
84546150,1386.7724609375
84546152,1262.580078125
84546154,679.2178344726562
84546156,-1364.7576904296875
84546158,-2712.929443359375
84546160,-2030.2225341796875
84546162,316.0281982421875
84546164,1828.38037109375
84546166,1368.280029296875
84546168,1452.725341796875
84546170,1046.03369140625
84546172,-70.3434066772461
84546174,-2406.326171875
84546176,-2537.255859375
84546178,-1173.90625
84546180,1325.47998046875
84546182,1588.3778076171875
84546184,1378.63525390625
84546186,1276.0548095703125
84546188,754.4833984375
84546190,-1186.587646484375
84546192,-2776.714111328125
84546194,-2155.60693359375
84546196,117.58792877197266
84546198,1812.7789306640625
84546200,1383.6820068359375
84546202,1432.8953857421875
84546204,1080.2313232421875
84546206,95.78084564208984
84546208,-2295.463134765625
84546210,-2618.5400390625
84546212,-1323.033447265625
84546214,1287.0206298828125
84546216,1695.94287109375
84546218,1402.8681640625
84546220,1302.8878173828125
84546222,801.3167114257812
84546224,-1046.7813720703125
84546226,-2741.906005859375
84546228,-2216.533935546875
84546230,-98.05709075927734
84546232,1747.1375732421875
84546234,1427.4166259765625
84546236,1413.7633056640625
84546238,1136.0989990234375
84546240,190.51080322265625
84546242,-2143.0419921875
84546244,-2648.3349609375
84546246,-1491.7869873046875
84546248,1119.16845703125
84546250,1727.9722900390625
84546252,1377.671630859375
84546254,1412.346923828125
84546256,1103.6875
84546258,-648.8167114257812
84546260,-2540.080322265625
84546262,-2159.1875
84546264,-156.82821655273438
84546266,1860.314208984375
84546268,1538.308837890625
84546270,1520.75927734375
84546272,1236.19140625
84546274,382.2677307128906
84546276,-1935.0439453125
84546278,-2651.799072265625
84546280,-1559.8167724609375
84546282,968.3589477539062
84546284,1748.4376220703125
84546286,1396.587646484375
84546288,1410.9637451171875
84546290,931.2952270507812
84546292,-694.1463623046875
84546294,-2659.56640625
84546296,-2388.76416015625
84546298,-470.2229309082031
84546300,1729.18505859375
84546302,1505.552490234375
84546304,1433.3773193359375
84546306,1164.5977783203125
84546308,424.7603759765625
84546310,-1863.662109375
84546312,-2713.65234375
84546314,-1758.1365966796875
84546316,798.7705078125
84546318,1769.841796875
84546320,1351.274658203125
84546322,1381.8211669921875
84546324,988.2221069335938
84546326,-497.2471008300781
84546328,-2591.104736328125
84546330,-2440.486328125
84546332,-673.8470458984375
84546334,1694.742431640625
84546336,1476.638427734375
84546338,1483.330078125
84546340,1165.5904541015625
84546342,511.10394287109375
84546344,-1725.1435546875
84546346,-2795.81298828125
84546348,-1867.89892578125
84546350,706.5244750976562
84546352,1807.217041015625
84546354,1340.39599609375
84546356,1429.402099609375
84546358,1029.5308837890625
84546360,-367.197998046875
84546362,-2596.66650390625
84546364,-2576.753662109375
84546366,-841.93603515625
84546368,1555.40966796875
84546370,1532.4478759765625
84546372,1430.0958251953125
84546374,1253.6661376953125
84546376,558.3442993164062
84546378,-1576.942626953125
84546380,-2815.534912109375
84546382,-2021.4747314453125
84546384,502.667724609375
84546386,1775.7276611328125
84546388,1372.7744140625
