samplestamps,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32
84794754,628.9078979492188,669.5438232421875,696.3104248046875,696.3768920898438,692.9916381835938,679.6249389648438,692.6967163085938,641.3856811523438,687.4588623046875,688.1234130859375,695.0061645507812,692.8628540039062,691.296875,682.7900390625,670.7608642578125,646.1333618164062,694.333251953125,701.2035522460938,724.2318115234375,704.9501953125,714.7239379882812,722.2919921875,711.3760375976562,725.1913452148438,712.833984375,716.7509155273438,714.4082641601562,705.527587890625,711.7332153320312,706.0675659179688,709.7684936523438,697.3447265625
84794756,-1677.8741455078125,-1722.8092041015625,-1767.8687744140625,-1769.2811279296875,-1771.2125244140625,-1749.193603515625,-1776.230224609375,-1719.32421875,-1781.679931640625,-1779.52001953125,-1776.737060546875,-1778.955078125,-1775.7235107421875,-1766.2821044921875,-1759.6153564453125,-1713.7166748046875,-1788.4132080078125,-1797.181640625,-1786.9510498046875,-1794.5357666015625,-1815.632568359375,-1804.068603515625,-1811.8526611328125,-1806.0789794921875,-1802.8099365234375,-1805.61376953125,-1798.92626953125,-1809.27734375,-1794.423583984375,-1801.1776123046875,-1776.9986572265625,-1754.7637939453125
84794758,-2752.62255859375,-2840.785400390625,-2922.2275390625,-2916.95654296875,-2925.417724609375,-2880.582275390625,-2925.239013671875,-2810.388427734375,-2925.9951171875,-2926.2568359375,-2932.645263671875,-2930.352294921875,-2928.051025390625,-2903.6396484375,-2889.670654296875,-2806.2138671875,-2961.3515625,-2970.361083984375,-2965.069091796875,-2967.935302734375,-3005.551513671875,-2995.972900390625,-2999.424560546875,-3002.95947265625,-2979.34130859375,-2990.4609375,-2975.532470703125,-2984.5751953125,-2968.96533203125,-2968.633056640625,-2939.054443359375,-2894.7548828125
84794760,-1856.8748779296875,-1913.2535400390625,-1969.8853759765625,-1961.2706298828125,-1966.8448486328125,-1936.801025390625,-1967.3931884765625,-1883.15966796875,-1964.7763671875,-1965.3330078125,-1969.2249755859375,-1971.24365234375,-1965.2581787109375,-1951.397216796875,-1933.9681396484375,-1875.19287109375,-1997.84423828125,-1998.3551025390625,-1991.0694580078125,-1993.324951171875,-2027.638916015625,-2015.887939453125,-2019.0531005859375,-2022.1435546875,-2003.5555419921875,-2013.354248046875,-2004.1827392578125,-2006.8868408203125,-1996.938720703125,-1997.046630859375,-1972.3111572265625,-1946.553955078125
84794762,733.9266357421875,765.3329467773438,779.6923828125,794.3966064453125,789.6032104492188,776.909423828125,795.15673828125,760.215576171875,795.5596313476562,792.1702270507812,798.7206420898438,794.6292114257812,792.0206909179688,785.8690185546875,778.2926025390625,766.0391235351562,779.2064208984375,795.2398071289062,813.7944946289062,801.3374633789062,797.570068359375,809.9730834960938,804.0000610351562,804.7809448242188,801.815185546875,802.9075927734375,803.9086303710938,801.2835083007812,803.5264892578125,800.315673828125,804.6314086914062,784.9759521484375
84794764,1884.4764404296875,1938.0927734375,1978.5833740234375,1977.6903076171875,1978.43798828125,1953.6859130859375,1984.4442138671875,1913.764404296875,1991.87109375,1983.999755859375,1999.144287109375,1988.9261474609375,1983.5054931640625,1976.016357421875,1957.7191162109375,1909.7144775390625,1994.8037109375,2008.1787109375,2027.8299560546875,2012.48193359375,2029.836181640625,2036.727294921875,2032.7646484375,2038.5091552734375,2011.1527099609375,2022.9036865234375,2018.297119140625,2014.4840087890625,2011.289794921875,2012.0499267578125,2009.6739501953125,1961.2664794921875
84794766,1418.095703125,1444.4344482421875,1464.53857421875,1464.81689453125,1461.0245361328125,1452.6422119140625,1466.5447998046875,1432.70849609375,1476.68408203125,1468.206298828125,1483.637451171875,1477.049560546875,1469.0869140625,1467.923828125,1445.3316650390625,1416.338623046875,1479.0849609375,1482.6405029296875,1497.951171875,1483.5709228515625,1499.0933837890625,1503.2845458984375,1501.6064453125,1509.5234375,1478.478515625,1492.9210205078125,1486.37890625,1485.48583984375,1478.9520263671875,1479.803466796875,1479.2220458984375,1446.357666015625
84794768,1434.261962890625,1476.5469970703125,1508.8131103515625,1502.3914794921875,1501.888916015625,1486.9561767578125,1509.265869140625,1463.40869140625,1519.18505859375,1508.256591796875,1529.7645263671875,1519.230712890625,1505.8017578125,1506.192138671875,1476.9290771484375,1448.484375,1518.379150390625,1526.82373046875,1541.2247314453125,1527.9327392578125,1544.18212890625,1545.341064453125,1545.407470703125,1558.4833984375,1521.066650390625,1539.8291015625,1532.572509765625,1529.926513671875,1524.5267333984375,1521.5443115234375,1522.4954833984375,1488.82958984375
84794770,1043.34619140625,1089.3031005859375,1121.12060546875,1116.551513671875,1124.2899169921875,1105.7725830078125,1127.3720703125,1077.1036376953125,1138.5496826171875,1131.4967041015625,1150.0555419921875,1135.8331298828125,1125.531982421875,1127.401123046875,1104.94189453125,1077.0537109375,1138.612060546875,1146.520751953125,1158.454345703125,1144.9588623046875,1160.17822265625,1164.4150390625,1162.7991943359375,1176.60205078125,1149.365966796875,1163.26025390625,1156.7015380859375,1159.32666015625,1147.480224609375,1141.98486328125,1148.643310546875,1119.255615234375
84794772,-288.6551208496094,-283.89910888671875,-287.9074401855469,-289.3072509765625,-280.4432067871094,-285.4816589355469,-281.16180419921875,-286.8731689453125,-270.9602355957031,-275.78271484375,-264.5967102050781,-279.3715515136719,-282.8980407714844,-273.06201171875,-281.851318359375,-278.0963439941406,-271.5085144042969,-272.7671203613281,-272.98309326171875,-277.36944580078125,-280.10675048828125,-279.33831787109375,-272.8501892089844,-265.0328674316406,-274.9145812988281,-272.96649169921875,-271.0682373046875,-273.369384765625,-278.6114196777344,-283.01434326171875,-269.419189453125,-276.385009765625
84794774,-2565.069091796875,-2650.037841796875,-2728.813232421875,-2731.11865234375,-2723.8828125,-2684.260498046875,-2718.615966796875,-2617.33544921875,-2724.239990234375,-2723.936767578125,-2721.166259765625,-2729.440673828125,-2729.357421875,-2697.48583984375,-2689.988525390625,-2611.773681640625,-2738.01806640625,-2753.876953125,-2767.50537109375,-2762.599853515625,-2795.5263671875,-2789.744384765625,-2781.997802734375,-2777.449462890625,-2770.001708984375,-2779.360107421875,-2771.0234375,-2771.47216796875,-2769.461669921875,-2769.822998046875,-2734.827880859375,-2704.962646484375
84794776,-2501.12255859375,-2575.885498046875,-2657.468994140625,-2652.72119140625,-2650.00048828125,-2611.736328125,-2646.4033203125,-2541.451171875,-2647.209228515625,-2646.24560546875,-2646.95166015625,-2649.92578125,-2653.954833984375,-2624.720947265625,-2609.281494140625,-2538.776123046875,-2673.510498046875,-2685.9716796875,-2694.6240234375,-2690.956298828125,-2723.272216796875,-2718.669921875,-2713.050048828125,-2714.225341796875,-2696.381103515625,-2711.02294921875,-2698.158935546875,-2696.642822265625,-2693.81396484375,-2695.865966796875,-2657.826171875,-2624.85791015625
84794778,-779.4224243164062,-796.7476196289062,-828.3574829101562,-819.9918823242188,-822.3428955078125,-809.6906127929688,-814.0271606445312,-781.3372802734375,-814.9990844726562,-820.9015502929688,-814.5546875,-815.5806274414062,-821.0344848632812,-805.0717163085938,-800.2035522460938,-779.646728515625,-838.3472290039062,-839.5850219726562,-835.884033203125,-837.1592407226562,-856.789794921875,-852.9683227539062,-846.451171875,-842.4178466796875,-839.7345581054688,-847.9008178710938,-833.6161499023438,-839.4022827148438,-832.482177734375,-833.8861083984375,-818.4259033203125,-812.0582885742188
84794780,1670.1065673828125,1737.3720703125,1777.443115234375,1779.565673828125,1780.6041259765625,1753.700439453125,1791.7943115234375,1713.862060546875,1789.3851318359375,1786.9676513671875,1797.995849609375,1796.9366455078125,1784.8243408203125,1787.68212890625,1767.2457275390625,1717.600341796875,1786.2864990234375,1800.9075927734375,1818.2037353515625,1808.8328857421875,1821.705322265625,1818.403076171875,1829.1778564453125,1828.060546875,1808.8411865234375,1815.740478515625,1818.72705078125,1815.4996337890625,1811.2711181640625,1806.2119140625,1805.4808349609375,1774.942626953125
84794782,1634.31396484375,1672.8231201171875,1704.3499755859375,1696.2252197265625,1701.5545654296875,1681.8616943359375,1706.298095703125,1656.3826904296875,1705.5047607421875,1703.7684326171875,1717.4881591796875,1712.6865234375,1707.0540771484375,1706.676025390625,1689.2344970703125,1641.882080078125,1715.207763671875,1715.502685546875,1730.568359375,1721.6087646484375,1736.8072509765625,1732.0137939453125,1739.9556884765625,1742.46875,1721.230712890625,1731.7230224609375,1731.19140625,1727.515380859375,1723.67724609375,1719.8890380859375,1721.745849609375,1688.71533203125
84794784,1499.446533203125,1531.156005859375,1564.17822265625,1554.3006591796875,1559.1895751953125,1545.2745361328125,1563.912353515625,1523.77490234375,1563.1937255859375,1565.7607421875,1574.16796875,1566.977783203125,1565.744140625,1563.4056396484375,1543.484375,1496.9791259765625,1569.2042236328125,1569.2291259765625,1584.1243896484375,1576.99658203125,1589.4744873046875,1585.407958984375,1591.58447265625,1597.9771728515625,1573.229248046875,1584.261474609375,1585.474365234375,1578.43798828125,1576.008056640625,1573.1295166015625,1577.6405029296875,1547.3265380859375
84794786,1385.1690673828125,1426.4114990234375,1457.7928466796875,1454.16259765625,1456.94970703125,1441.414794921875,1461.88427734375,1405.954345703125,1464.509521484375,1462.9892578125,1471.001708984375,1464.3848876953125,1458.6112060546875,1455.6287841796875,1438.8768310546875,1388.330078125,1472.9581298828125,1468.21044921875,1485.9468994140625,1478.212646484375,1491.9697265625,1489.5772705078125,1490.8814697265625,1493.710205078125,1473.1700439453125,1485.219970703125,1484.55126953125,1477.572998046875,1476.15234375,1473.04541015625,1477.311279296875,1447.60791015625
