samplestamps,C1,C2,C3,C4
84688754,-812.9928588867188,-815.3355712890625,-834.2391967773438,-818.812255859375
84688756,1216.71044921875,1270.17724609375,1309.03955078125,1316.2379150390625
84688758,860.12109375,877.9073486328125,898.8296508789062,898.5845947265625
84688760,910.84228515625,934.8134155273438,962.3900146484375,959.4159545898438
84688762,605.1152954101562,634.195556640625,661.780517578125,660.4388427734375
84688764,-177.368408203125,-159.0919952392578,-144.13026428222656,-145.4345245361328
84688766,-2479.98828125,-2546.988037109375,-2603.56591796875,-2599.5244140625
84688768,-3155.3349609375,-3248.299560546875,-3323.025146484375,-3316.084228515625
84688770,-2089.201416015625,-2145.480224609375,-2189.23974609375,-2174.639404296875
84688772,494.3021240234375,528.9899291992188,560.1221313476562,567.8272705078125
84688774,1257.6953125,1288.8067626953125,1336.74072265625,1334.6971435546875
84688776,832.224609375,838.0357055664062,873.230224609375,868.353759765625
84688778,888.4702758789062,906.7384033203125,948.0056762695312,943.5819702148438
84688780,394.3384704589844,426.1767883300781,466.0526123046875,460.22076416015625
84688782,-1193.5035400390625,-1206.38427734375,-1211.4683837890625,-1212.461181640625
84688784,-3152.1904296875,-3244.13330078125,-3312.53271484375,-3311.947021484375
84688786,-2867.942626953125,-2944.6162109375,-3005.127685546875,-2997.22314453125
84688788,-964.63720703125,-978.3860473632812,-985.0486450195312,-975.4119873046875
84688790,1205.9605712890625,1261.13037109375,1311.8349609375,1319.74365234375
84688792,917.6211547851562,940.4002075195312,972.3880615234375,968.29248046875
84688794,858.1065063476562,886.23974609375,920.4041748046875,918.2816162109375
84688796,610.9970092773438,650.2040405273438,685.3363037109375,680.3850708007812
84688798,-139.51962280273438,-102.16513061523438,-75.83464050292969,-78.50133514404297
84688800,-2392.7060546875,-2443.3857421875,-2484.752685546875,-2485.130615234375
84688802,-3241.5166015625,-3319.78515625,-3385.53466796875,-3381.84619140625
84688804,-2300.1318359375,-2339.351318359375,-2383.156494140625,-2375.517822265625
84688806,256.0068054199219,306.3084716796875,330.2921142578125,341.7356262207031
84688808,1180.942626953125,1238.1519775390625,1275.8594970703125,1278.1566162109375
84688810,720.1943969726562,745.0419921875,767.17724609375,769.5739135742188
84688812,737.8809814453125,766.4378662109375,792.3737182617188,795.5804443359375
84688814,330.8860778808594,367.9872131347656,392.0040588378906,395.20660400390625
84688816,-1145.7398681640625,-1151.5509033203125,-1160.3153076171875,-1156.59765625
84688818,-3275.228271484375,-3355.6484375,-3438.13330078125,-3432.92041015625
84688820,-3109.099853515625,-3178.296630859375,-3252.989013671875,-3249.01806640625
84688822,-1351.046142578125,-1368.4793701171875,-1389.9666748046875,-1389.0404052734375
84688824,923.34912109375,981.2562866210938,1019.2421264648438,1020.4384155273438
84688826,650.8146362304688,672.0111083984375,691.9697875976562,686.1171875
84688828,508.4787902832031,532.3045654296875,545.800048828125,541.833251953125
84688830,278.8232421875,306.6033935546875,319.5671691894531,317.0624694824219
84688832,-515.41552734375,-491.74755859375,-491.0829772949219,-485.57513427734375
84688834,-2758.882080078125,-2817.009521484375,-2883.564697265625,-2877.508544921875
84688836,-3813.584716796875,-3911.076904296875,-4011.97509765625,-3994.724609375
84688838,-3000.263671875,-3070.611328125,-3157.428466796875,-3129.1748046875
84688840,-580.433837890625,-560.4627075195312,-576.791015625,-553.35986328125
84688842,518.2733154296875,555.0504150390625,560.8614501953125,574.7349243164062
84688844,-73.197021484375,-67.05365753173828,-83.14935302734375,-74.9914321899414
84688846,-48.137569427490234,-27.169544219970703,-35.98375701904297,-28.075057983398438
84688848,-541.9038696289062,-508.96063232421875,-522.2151489257812,-514.181884765625
84688850,-1898.3125,-1900.9376220703125,-1950.250732421875,-1936.9713134765625
84688852,-4125.587890625,-4216.87451171875,-4333.287109375,-4320.1611328125
84688854,-4098.0654296875,-4188.3759765625,-4291.953125,-4278.60302734375
84688856,-2514.84228515625,-2556.62890625,-2613.642822265625,-2598.855712890625
84688858,-115.75613403320312,-83.57719421386719,-73.58747100830078,-59.72647476196289
84688860,-275.84918212890625,-274.9934997558594,-283.6374206542969,-279.05999755859375
84688862,-430.9660339355469,-436.36175537109375,-445.48333740234375,-440.33685302734375
84688864,-636.7750244140625,-634.9473876953125,-645.3773803710938,-636.5009155273438
84688866,-1281.047607421875,-1280.0174560546875,-1298.422607421875,-1287.523193359375
84688868,-3514.07177734375,-3598.7705078125,-3678.63427734375,-3674.06103515625
84688870,-4763.35595703125,-4895.6435546875,-5018.58154296875,-5013.85888671875
84688872,-4058.55517578125,-4167.3330078125,-4268.546875,-4265.0703125
84688874,-1615.813232421875,-1639.0948486328125,-1672.287353515625,-1668.731689453125
84688876,-365.1252746582031,-364.0411682128906,-367.1689147949219,-371.1108093261719
84688878,-845.2050170898438,-881.4296875,-901.3966674804688,-909.07275390625
84688880,-723.3637084960938,-752.1822509765625,-760.4855346679688,-762.034912109375
84688882,-1121.5028076171875,-1141.635986328125,-1151.0191650390625,-1152.4730224609375
84688884,-2325.28271484375,-2374.770263671875,-2412.091552734375,-2410.666748046875
84688886,-4532.17578125,-4674.2041015625,-4783.6630859375,-4780.65185546875
84688888,-4530.92138671875,-4669.47314453125,-4780.3984375,-4778.30078125
84688890,-2932.350341796875,-3020.820556640625,-3078.66943359375,-3076.052734375
84688892,-400.2865905761719,-405.99798583984375,-393.611572265625,-394.29693603515625
84688894,-252.82089233398438,-280.9208679199219,-278.9561767578125,-289.7932434082031
84688896,-424.4945373535156,-463.57696533203125,-463.0743713378906,-473.1014709472656
84688898,-444.9184265136719,-472.0132141113281,-470.459716796875,-477.7121276855469
84688900,-1015.7322387695312,-1033.2900390625,-1036.309814453125,-1043.009765625
84688902,-2988.396484375,-3083.17626953125,-3148.2236328125,-3155.808349609375
84688904,-4328.35205078125,-4471.45654296875,-4578.53955078125,-4581.4306640625
84688906,-3522.296142578125,-3643.1240234375,-3732.017822265625,-3729.98681640625
84688908,-1069.35693359375,-1108.9918212890625,-1130.155029296875,-1127.762451171875
84688910,468.5531311035156,462.8500671386719,474.6840515136719,471.0453796386719
84688912,66.07752990722656,25.840351104736328,20.768648147583008,10.787235260009766
84688914,199.1920928955078,173.3392791748047,173.9748077392578,170.62689208984375
84688916,-112.64083862304688,-126.3190689086914,-120.98983001708984,-124.58280944824219
84688918,-1214.8162841796875,-1251.2071533203125,-1265.4212646484375,-1270.754638671875
84688920,-3483.728759765625,-3610.895263671875,-3698.12353515625,-3700.74462890625
84688922,-3633.50390625,-3761.667236328125,-3849.3193359375,-3845.93408203125
84688924,-2160.99853515625,-2238.357666015625,-2285.037109375,-2279.7744140625
84688926,465.4461669921875,470.8293762207031,495.3446960449219,495.8182373046875
84688928,711.8703002929688,701.585693359375,717.9472045898438,712.4019775390625
84688930,529.06884765625,503.0664978027344,513.7872314453125,505.9076232910156
84688932,503.49432373046875,490.43084716796875,507.0872802734375,500.93145751953125
84688934,16.415538787841797,6.64596700668335,21.570316314697266,16.01262664794922
84688936,-1875.7244873046875,-1954.234130859375,-1994.53369140625,-2004.872314453125
84688938,-3382.71826171875,-3516.20263671875,-3602.284423828125,-3610.09765625
84688940,-2664.725341796875,-2776.66015625,-2840.710693359375,-2842.3388671875
84688942,-300.68017578125,-332.49359130859375,-324.7801208496094,-324.7925720214844
84688944,1479.9322509765625,1501.1163330078125,1549.3203125,1543.816650390625
84688946,961.6589965820312,1059.7451171875,1098.279296875,1086.8814697265625
84688948,1016.7540283203125,1268.3828125,1318.3812255859375,1316.1507568359375
84688950,886.0985107421875,1030.187255859375,1075.5875244140625,1066.445068359375
84688952,-55.697357177734375,96.32498931884766,131.39077758789062,120.08016204833984
84688954,-2226.76025390625,-2205.102783203125,-2240.92041015625,-2253.72216796875
84688956,-2440.7314453125,-2423.044921875,-2465.379638671875,-2469.14306640625
84688958,-936.0055541992188,-891.8264770507812,-896.7486572265625,-895.7725219726562
84688960,1804.8204345703125,1935.34716796875,2009.0675048828125,2008.4361572265625
84688962,2414.060302734375,2522.630615234375,2597.094482421875,2589.613525390625
84688964,2340.734619140625,2433.865234375,2502.048828125,2493.114013671875
84688966,2574.244873046875,2669.705810546875,2752.46875,2746.271484375
84688968,2244.359619140625,2343.326416015625,2427.688720703125,2426.081298828125
84688970,531.0792236328125,566.2987060546875,604.6251831054688,603.7155151367188
84688972,-1084.5013427734375,-1112.9669189453125,-1129.286865234375,-1123.0936279296875
84688974,-373.7318115234375,-375.2562255859375,-376.6394348144531,-365.1045227050781
84688976,1777.123291015625,1853.4896240234375,1913.9014892578125,1934.5081787109375
