samplestamps,C1,C2,C3,C4,C5,C6,C7,C8
85141954,-2953.82080078125,-3044.318115234375,-3117.77685546875,-3115.018798828125,-3124.057373046875,-3065.58935546875,-3114.5244140625,-2989.1650390625
85141956,-1637.8529052734375,-1684.3372802734375,-1723.0791015625,-1713.255615234375,-1729.957763671875,-1682.91259765625,-1718.123779296875,-1646.9537353515625
85141958,1020.803955078125,1068.879150390625,1105.922119140625,1116.9752197265625,1100.2896728515625,1104.331298828125,1111.02294921875,1068.0360107421875
85141960,1503.18896484375,1547.9495849609375,1590.3841552734375,1592.415283203125,1575.09423828125,1575.696533203125,1584.801513671875,1544.3316650390625
85141962,1201.7320556640625,1225.9981689453125,1255.7305908203125,1257.5208740234375,1244.5321044921875,1247.356689453125,1248.332763671875,1227.098876953125
85141964,1154.3297119140625,1188.7724609375,1219.3148193359375,1225.6119384765625,1214.3968505859375,1209.075927734375,1218.3636474609375,1191.6011962890625
85141966,699.2678833007812,738.2506713867188,769.3870239257812,773.902099609375,764.17822265625,757.3660888671875,769.8937377929688,728.8798217773438
85141968,-1219.0655517578125,-1240.071044921875,-1260.5780029296875,-1257.142822265625,-1266.6964111328125,-1248.1790771484375,-1265.387939453125,-1226.75
85141970,-3001.364501953125,-3097.531494140625,-3172.385986328125,-3165.881103515625,-3180.34033203125,-3127.978515625,-3178.678955078125,-3057.83447265625
85141972,-2509.093505859375,-2588.824462890625,-2648.808349609375,-2638.88916015625,-2655.612060546875,-2604.832763671875,-2649.62255859375,-2546.094970703125
85141974,-345.3161315917969,-341.4075012207031,-345.09185791015625,-330.4125671386719,-350.5,-336.46868896484375,-341.90179443359375,-327.05218505859375
85141976,1634.5174560546875,1694.3851318359375,1735.851806640625,1745.521728515625,1736.0179443359375,1715.5858154296875,1739.0045166015625,1672.353759765625
85141978,1278.098388671875,1305.392578125,1330.7677001953125,1329.5672607421875,1323.885009765625,1314.5888671875,1320.4041748046875,1293.23046875
85141980,1282.9873046875,1314.584716796875,1348.3546142578125,1345.3721923828125,1336.93603515625,1329.3720703125,1336.994140625,1305.36767578125
85141982,999.283447265625,1037.6597900390625,1069.75146484375,1066.9228515625,1065.207275390625,1049.8011474609375,1062.5364990234375,1018.731201171875
85141984,122.24425506591797,139.1083984375,157.9912567138672,155.9725341796875,157.52603149414062,149.60072326660156,155.31625366210938,124.75311279296875
85141986,-2329.008544921875,-2400.029052734375,-2452.9599609375,-2457.08056640625,-2456.428466796875,-2427.05322265625,-2463.37353515625,-2379.06103515625
85141988,-2930.236083984375,-3019.85693359375,-3091.737060546875,-3091.27197265625,-3094.47021484375,-3053.88427734375,-3103.504638671875,-2983.154541015625
85141990,-1768.329833984375,-1824.2598876953125,-1862.764892578125,-1858.552978515625,-1863.969482421875,-1835.7989501953125,-1870.4327392578125,-1793.2730712890625
85141992,956.6329956054688,992.5751953125,1029.4022216796875,1035.5994873046875,1030.3533935546875,1012.9824829101562,1030.311767578125,985.0527954101562
85141994,1638.7086181640625,1672.1129150390625,1717.803955078125,1716.977294921875,1713.7996826171875,1691.8306884765625,1716.084228515625,1655.7388916015625
85141996,1260.8729248046875,1277.234375,1303.3447265625,1298.800537109375,1298.2813720703125,1282.67578125,1298.5928955078125,1261.7908935546875
